year,sex,age_group,population
2011,females,65–74,850382
2011,females,75–84,553390
2011,females,85+,264537
2011,males,0–4,748527
2011,males,15–24,1570069
2011,males,25–34,1610295
2011,males,35–44,1568952
2011,males,45–54,1503774
2011,males,55–64,1273267
2011,males,5–14,1423748
2011,males,65–74,831549
2011,males,75–84,448983
2011,males,85+,139070
2012,females,0–4,727468
2012,females,15–24,1508291
2012,females,25–34,1630669
2012,females,35–44,1606679
2012,females,45–54,1543814
2012,females,55–64,1306249
2012,females,5–14,1367640
2012,females,65–74,898683
2012,females,75–84,557503
2012,females,85+,273490
2012,males,0–4,767222
2012,males,15–24,1580791
2012,males,25–34,1657993
2012,males,35–44,1584615
2012,males,45–54,1513367
2012,males,55–64,1283150
2012,males,5–14,1441664
2012,males,65–74,877830
2012,males,75–84,459312
2012,males,85+,147035
2013,females,0–4,741535
2013,females,15–24,1520112
2013,females,25–34,1679755
2013,females,35–44,1616462
2013,females,45–54,1556221
2013,females,55–64,1332428
2013,females,5–14,1389103
2013,females,65–74,940785
2013,females,75–84,563331
2013,females,85+,282232
2013,males,0–4,782840
2013,males,15–24,1591872
2013,males,25–34,1704864
2013,males,35–44,1595709
2013,males,45–54,1522586
2013,males,55–64,1299816
2013,males,5–14,1464448
2013,males,65–74,918268
2013,males,75–84,470236
2013,males,85+,155526
2014,females,0–4,750223
2014,females,15–24,1529770
2014,females,25–34,1724062
2014,females,35–44,1619538
2014,females,45–54,1571390
2014,females,55–64,1361052
2014,females,5–14,1410354
2014,females,65–74,978444
2014,females,75–84,572675
2014,females,85+,290292
2014,males,0–4,791208
2014,males,15–24,1602572
2014,males,25–34,1736672
2014,males,35–44,1599058
2014,males,45–54,1530142
2014,males,55–64,1319560
2014,males,5–14,1487937
2014,males,65–74,953962
2014,males,75–84,482933
2014,males,85+,163842
2015,females,0–4,755529
2015,females,15–24,1537264
2015,females,25–34,1767784
2015,females,35–44,1623603
2015,females,45–54,1584459
2015,females,55–64,1389008
2015,females,5–14,1433679
2015,females,65–74,1017187
2015,females,75–84,582767
2015,females,85+,297063
2015,males,0–4,797038
2015,males,15–24,1608871
2015,males,25–34,1770533
2015,males,35–44,1604565
2015,males,45–54,1537298
2015,males,55–64,1338789
2015,males,5–14,1513271
2015,males,65–74,989503
2015,males,75–84,495902
2015,males,85+,171882
2016,females,0–4,765733
2016,females,15–24,1548679
2016,females,25–34,1808585
2016,females,35–44,1624730
2016,females,45–54,1604950
2016,females,55–64,1419482
2016,females,5–14,1459304
2016,females,65–74,1057318
2016,females,75–84,595646
2016,females,85+,303441
2016,males,0–4,807893
2016,males,15–24,1620549
2016,males,25–34,1799796
2016,males,35–44,1609508
2016,males,45–54,1548456
2016,males,55–64,1361324
2016,males,5–14,1539667
2016,males,65–74,1025951
2016,males,75–84,510657
2016,males,85+,179238
2017,females,0–4,765422
2017,females,15–24,1559844
2017,females,25–34,1844670
2017,females,35–44,1641128
2017,females,45–54,1621596
2017,females,55–64,1451598
2017,females,5–14,1488674
2017,females,65–74,1096110
2017,females,75–84,613352
2017,females,85+,306607
2017,males,0–4,809010
2017,males,15–24,1635390
2017,males,25–34,1833352
2017,males,35–44,1625799
2017,males,45–54,1566338
2017,males,55–64,1388791
2017,males,5–14,1572715
2017,males,65–74,1056762
2017,males,75–84,531175
2017,males,85+,184255
2018,females,0–4,759639
2018,females,15–24,1568680
2018,females,25–34,1870146
2018,females,35–44,1669615
2018,females,45–54,1629778
2018,females,55–64,1479338
2018,females,5–14,1517036
2018,females,65–74,1138307
2018,females,75–84,630752
2018,females,85+,309746
2018,males,0–4,803776
2018,males,15–24,1650088
2018,males,25–34,1858733
2018,males,35–44,1651074
2018,males,45–54,1578106
2018,males,55–64,1413763
2018,males,5–14,1605343
2018,males,65–74,1089215
2018,males,75–84,551112
2018,males,85+,189011
2019,females,0–4,754377
2019,females,15–24,1571006
