survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2007–2021,females,65–74,4,follicular,0.89,0.875,0.903
Observed,2007–2021,females,75–84,4,follicular,0.747,0.722,0.77
Observed,2007–2021,females,85+,4,follicular,0.431,0.381,0.48
Observed,2007–2021,females,5–14,5,follicular,NA,NA,NA
Observed,2007–2021,females,15–24,5,follicular,NA,NA,NA
Observed,2007–2021,females,25–34,5,follicular,0.981,0.927,0.995
Observed,2007–2021,females,35–44,5,follicular,0.977,0.96,0.9870000000000002
Observed,2007–2021,females,45–54,5,follicular,0.947,0.934,0.958
Observed,2007–2021,females,55–64,5,follicular,0.929,0.917,0.939
Observed,2007–2021,females,65–74,5,follicular,0.873,0.858,0.887
Observed,2007–2021,females,75–84,5,follicular,0.674,0.647,0.7
Observed,2007–2021,females,85+,5,follicular,0.361,0.312,0.41
Observed,2007–2021,males,5–14,1,follicular,NA,NA,NA
Observed,2007–2021,males,15–24,1,follicular,1,0.93,1
Observed,2007–2021,males,25–34,1,follicular,0.994,0.96,0.999
Observed,2007–2021,males,35–44,1,follicular,0.9880000000000002,0.975,0.994
Observed,2007–2021,males,45–54,1,follicular,0.99,0.983,0.994
Observed,2007–2021,males,55–64,1,follicular,0.981,0.975,0.9860000000000002
Observed,2007–2021,males,65–74,1,follicular,0.965,0.957,0.971
Observed,2007–2021,males,75–84,1,follicular,0.901,0.884,0.915
Observed,2007–2021,males,85+,1,follicular,0.777,0.73,0.817
Observed,2007–2021,males,5–14,2,follicular,NA,NA,NA
Observed,2007–2021,males,15–24,2,follicular,0.978,0.855,0.997
Observed,2007–2021,males,25–34,2,follicular,0.994,0.96,0.999
Observed,2007–2021,males,35–44,2,follicular,0.98,0.966,0.9880000000000002
Observed,2007–2021,males,45–54,2,follicular,0.978,0.97,0.9850000000000002
Observed,2007–2021,males,55–64,2,follicular,0.955,0.946,0.963
Observed,2007–2021,males,65–74,2,follicular,0.931,0.921,0.94
Observed,2007–2021,males,75–84,2,follicular,0.832,0.812,0.85
Observed,2007–2021,males,85+,2,follicular,0.662,0.609,0.709
Observed,2007–2021,males,5–14,3,follicular,NA,NA,NA
Observed,2007–2021,males,15–24,3,follicular,0.956,0.835,0.9890000000000002
Observed,2007–2021,males,25–34,3,follicular,0.994,0.96,0.999
Observed,2007–2021,males,35–44,3,follicular,0.969,0.953,0.98
Observed,2007–2021,males,45–54,3,follicular,0.965,0.954,0.973
Observed,2007–2021,males,55–64,3,follicular,0.933,0.922,0.942
Observed,2007–2021,males,65–74,3,follicular,0.896,0.883,0.907
Observed,2007–2021,males,75–84,3,follicular,0.764,0.741,0.785
Observed,2007–2021,males,85+,3,follicular,0.536,0.481,0.588
Observed,2007–2021,males,5–14,4,follicular,NA,NA,NA
Observed,2007–2021,males,15–24,4,follicular,0.956,0.835,0.9890000000000002
Observed,2007–2021,males,25–34,4,follicular,0.9890000000000002,0.956,0.997
Observed,2007–2021,males,35–44,4,follicular,0.965,0.948,0.976
Observed,2007–2021,males,45–54,4,follicular,0.952,0.94,0.962
Observed,2007–2021,males,55–64,4,follicular,0.912,0.9,0.922
Observed,2007–2021,males,65–74,4,follicular,0.863,0.848,0.876
Observed,2007–2021,males,75–84,4,follicular,0.687,0.661,0.711
Observed,2007–2021,males,85+,4,follicular,0.406,0.352,0.459
Observed,2007–2021,males,5–14,5,follicular,NA,NA,NA
Observed,2007–2021,males,15–24,5,follicular,0.956,0.835,0.9890000000000002
Observed,2007–2021,males,25–34,5,follicular,0.983,0.949,0.995
Observed,2007–2021,males,35–44,5,follicular,0.956,0.937,0.969
Observed,2007–2021,males,45–54,5,follicular,0.94,0.926,0.951
Observed,2007–2021,males,55–64,5,follicular,0.894,0.881,0.906
Observed,2007–2021,males,65–74,5,follicular,0.828,0.812,0.843
Observed,2007–2021,males,75–84,5,follicular,0.614,0.586,0.64
Observed,2007–2021,males,85+,5,follicular,0.339,0.287,0.392
Observed,2007–2021,persons,5–14,1,follicular,NA,NA,NA
Observed,2007–2021,persons,15–24,1,follicular,1,0.952,1
Observed,2007–2021,persons,25–34,1,follicular,0.996,0.975,1
Observed,2007–2021,persons,35–44,1,follicular,0.9920000000000002,0.9850000000000002,0.996
Observed,2007–2021,persons,45–54,1,follicular,0.9910000000000002,0.9860000000000002,0.994
Observed,2007–2021,persons,55–64,1,follicular,0.9840000000000002,0.98,0.9870000000000002
Observed,2007–2021,persons,65–74,1,follicular,0.97,0.964,0.974
Observed,2007–2021,persons,75–84,1,follicular,0.911,0.9,0.92
Observed,2007–2021,persons,85+,1,follicular,0.78,0.749,0.808
Observed,2007–2021,persons,5–14,2,follicular,NA,NA,NA
Observed,2007–2021,persons,15–24,2,follicular,0.9850000000000002,0.898,0.998
Observed,2007–2021,persons,25–34,2,follicular,0.996,0.975,1
Observed,2007–2021,persons,35–44,2,follicular,0.9850000000000002,0.976,0.9910000000000002
Observed,2007–2021,persons,45–54,2,follicular,0.979,0.972,0.983
Observed,2007–2021,persons,55–64,2,follicular,0.963,0.958,0.968
Observed,2007–2021,persons,65–74,2,follicular,0.94,0.933,0.947
Observed,2007–2021,persons,75–84,2,follicular,0.849,0.835,0.861
Observed,2007–2021,persons,85+,2,follicular,0.644,0.609,0.677
Observed,2007–2021,persons,5–14,3,follicular,NA,NA,NA
Observed,2007–2021,persons,15–24,3,follicular,0.97,0.884,0.9920000000000002
Observed,2007–2021,persons,25–34,3,follicular,0.996,0.975,1
Observed,2007–2021,persons,35–44,3,follicular,0.978,0.967,0.9850000000000002
Observed,2007–2021,persons,45–54,3,follicular,0.965,0.958,0.972
Observed,2007–2021,persons,55–64,3,follicular,0.945,0.938,0.951
