year,sex,age_group,subtype,count
1988,males,75–84,mantle_cell,10
1988,males,85+,dlbcl,13
1988,males,85+,follicular,3
1988,males,85+,hodgkin,0
1988,males,85+,mantle_cell,2
1989,females,15–24,dlbcl,5
1989,females,15–24,follicular,1
1989,females,15–24,hodgkin,40
1989,females,15–24,mantle_cell,0
1989,females,25–34,dlbcl,10
1989,females,25–34,follicular,4
1989,females,25–34,hodgkin,31
1989,females,25–34,mantle_cell,0
1989,females,35–44,dlbcl,25
1989,females,35–44,follicular,33
1989,females,35–44,hodgkin,17
1989,females,35–44,mantle_cell,1
1989,females,45–54,dlbcl,34
1989,females,45–54,follicular,41
1989,females,45–54,hodgkin,9
1989,females,45–54,mantle_cell,2
1989,females,55–64,dlbcl,58
1989,females,55–64,follicular,62
1989,females,55–64,hodgkin,11
1989,females,55–64,mantle_cell,5
1989,females,5–14,dlbcl,1
1989,females,5–14,follicular,0
1989,females,5–14,hodgkin,3
1989,females,5–14,mantle_cell,0
1989,females,65–74,dlbcl,103
1989,females,65–74,follicular,69
1989,females,65–74,hodgkin,19
1989,females,65–74,mantle_cell,8
1989,females,75–84,dlbcl,94
1989,females,75–84,follicular,39
1989,females,75–84,hodgkin,13
1989,females,75–84,mantle_cell,5
1989,females,85+,dlbcl,21
1989,females,85+,follicular,7
1989,females,85+,hodgkin,5
1989,females,85+,mantle_cell,2
1989,males,15–24,dlbcl,7
1989,males,15–24,follicular,2
1989,males,15–24,hodgkin,35
1989,males,15–24,mantle_cell,0
1989,males,25–34,dlbcl,18
1989,males,25–34,follicular,9
1989,males,25–34,hodgkin,37
1989,males,25–34,mantle_cell,0
1989,males,35–44,dlbcl,44
1989,males,35–44,follicular,38
1989,males,35–44,hodgkin,36
1989,males,35–44,mantle_cell,3
1989,males,45–54,dlbcl,43
1989,males,45–54,follicular,46
1989,males,45–54,hodgkin,20
1989,males,45–54,mantle_cell,7
1989,males,55–64,dlbcl,86
1989,males,55–64,follicular,72
1989,males,55–64,hodgkin,16
1989,males,55–64,mantle_cell,14
1989,males,5–14,dlbcl,3
1989,males,5–14,follicular,0
1989,males,5–14,hodgkin,18
1989,males,5–14,mantle_cell,0
1989,males,65–74,dlbcl,107
1989,males,65–74,follicular,64
