year,sex,age_group,cancer_group,count
1989,females,75–84,Hodgkin lymphoma,13
1989,females,75–84,Non-Hodgkin lymphoma,220
1989,females,85+,Hodgkin lymphoma,5
1989,females,85+,Non-Hodgkin lymphoma,55
1989,males,15–24,Hodgkin lymphoma,35
1989,males,15–24,Non-Hodgkin lymphoma,19
1989,males,25–34,Hodgkin lymphoma,37
1989,males,25–34,Non-Hodgkin lymphoma,45
1989,males,35–44,Hodgkin lymphoma,36
1989,males,35–44,Non-Hodgkin lymphoma,128
1989,males,45–54,Hodgkin lymphoma,20
1989,males,45–54,Non-Hodgkin lymphoma,129
1989,males,55–64,Hodgkin lymphoma,16
1989,males,55–64,Non-Hodgkin lymphoma,242
1989,males,5–14,Hodgkin lymphoma,18
1989,males,5–14,Non-Hodgkin lymphoma,24
1989,males,65–74,Hodgkin lymphoma,14
1989,males,65–74,Non-Hodgkin lymphoma,297
1989,males,75–84,Hodgkin lymphoma,11
1989,males,75–84,Non-Hodgkin lymphoma,213
1989,males,85+,Hodgkin lymphoma,2
1989,males,85+,Non-Hodgkin lymphoma,45
1990,females,15–24,Hodgkin lymphoma,42
1990,females,15–24,Non-Hodgkin lymphoma,11
1990,females,25–34,Hodgkin lymphoma,34
1990,females,25–34,Non-Hodgkin lymphoma,38
1990,females,35–44,Hodgkin lymphoma,20
1990,females,35–44,Non-Hodgkin lymphoma,73
1990,females,45–54,Hodgkin lymphoma,12
1990,females,45–54,Non-Hodgkin lymphoma,114
1990,females,55–64,Hodgkin lymphoma,10
1990,females,55–64,Non-Hodgkin lymphoma,181
1990,females,5–14,Hodgkin lymphoma,4
1990,females,5–14,Non-Hodgkin lymphoma,9
1990,females,65–74,Hodgkin lymphoma,11
1990,females,65–74,Non-Hodgkin lymphoma,274
1990,females,75–84,Hodgkin lymphoma,13
1990,females,75–84,Non-Hodgkin lymphoma,219
1990,females,85+,Hodgkin lymphoma,2
1990,females,85+,Non-Hodgkin lymphoma,60
1990,males,15–24,Hodgkin lymphoma,42
1990,males,15–24,Non-Hodgkin lymphoma,24
1990,males,25–34,Hodgkin lymphoma,37
1990,males,25–34,Non-Hodgkin lymphoma,77
1990,males,35–44,Hodgkin lymphoma,38
1990,males,35–44,Non-Hodgkin lymphoma,129
1990,males,45–54,Hodgkin lymphoma,29
1990,males,45–54,Non-Hodgkin lymphoma,186
1990,males,55–64,Hodgkin lymphoma,28
1990,males,55–64,Non-Hodgkin lymphoma,241
1990,males,5–14,Hodgkin lymphoma,17
1990,males,5–14,Non-Hodgkin lymphoma,24
1990,males,65–74,Hodgkin lymphoma,15
1990,males,65–74,Non-Hodgkin lymphoma,323
1990,males,75–84,Hodgkin lymphoma,10
1990,males,75–84,Non-Hodgkin lymphoma,209
1990,males,85+,Hodgkin lymphoma,1
1990,males,85+,Non-Hodgkin lymphoma,47
1991,females,15–24,Hodgkin lymphoma,41
1991,females,15–24,Non-Hodgkin lymphoma,14
1991,females,25–34,Hodgkin lymphoma,32
1991,females,25–34,Non-Hodgkin lymphoma,35
1991,females,35–44,Hodgkin lymphoma,17
1991,females,35–44,Non-Hodgkin lymphoma,78
1991,females,45–54,Hodgkin lymphoma,8
1991,females,45–54,Non-Hodgkin lymphoma,106
1991,females,55–64,Hodgkin lymphoma,8
1991,females,55–64,Non-Hodgkin lymphoma,204
1991,females,5–14,Hodgkin lymphoma,2
1991,females,5–14,Non-Hodgkin lymphoma,9
1991,females,65–74,Hodgkin lymphoma,17
1991,females,65–74,Non-Hodgkin lymphoma,321
1991,females,75–84,Hodgkin lymphoma,13
1991,females,75–84,Non-Hodgkin lymphoma,263
1991,females,85+,Hodgkin lymphoma,2
1991,females,85+,Non-Hodgkin lymphoma,59
1991,males,15–24,Hodgkin lymphoma,39
1991,males,15–24,Non-Hodgkin lymphoma,27
1991,males,25–34,Hodgkin lymphoma,40
1991,males,25–34,Non-Hodgkin lymphoma,84
1991,males,35–44,Hodgkin lymphoma,18
1991,males,35–44,Non-Hodgkin lymphoma,154
1991,males,45–54,Hodgkin lymphoma,17
1991,males,45–54,Non-Hodgkin lymphoma,162
1991,males,55–64,Hodgkin lymphoma,14
1991,males,55–64,Non-Hodgkin lymphoma,235
1991,males,5–14,Hodgkin lymphoma,15
1991,males,5–14,Non-Hodgkin lymphoma,22
1991,males,65–74,Hodgkin lymphoma,22
1991,males,65–74,Non-Hodgkin lymphoma,340
1991,males,75–84,Hodgkin lymphoma,7
1991,males,75–84,Non-Hodgkin lymphoma,236
1991,males,85+,Hodgkin lymphoma,1
1991,males,85+,Non-Hodgkin lymphoma,57
1992,females,15–24,Hodgkin lymphoma,46
1992,females,15–24,Non-Hodgkin lymphoma,14
1992,females,25–34,Hodgkin lymphoma,41
1992,females,25–34,Non-Hodgkin lymphoma,48
1992,females,35–44,Hodgkin lymphoma,20
1992,females,35–44,Non-Hodgkin lymphoma,88
1992,females,45–54,Hodgkin lymphoma,8
1992,females,45–54,Non-Hodgkin lymphoma,136
1992,females,55–64,Hodgkin lymphoma,16
1992,females,55–64,Non-Hodgkin lymphoma,199
1992,females,5–14,Hodgkin lymphoma,10
1992,females,5–14,Non-Hodgkin lymphoma,10
1992,females,65–74,Hodgkin lymphoma,18
1992,females,65–74,Non-Hodgkin lymphoma,304
1992,females,75–84,Hodgkin lymphoma,13
1992,females,75–84,Non-Hodgkin lymphoma,273
1992,females,85+,Hodgkin lymphoma,3
1992,females,85+,Non-Hodgkin lymphoma,80
1992,males,15–24,Hodgkin lymphoma,41
1992,males,15–24,Non-Hodgkin lymphoma,24
1992,males,25–34,Hodgkin lymphoma,37
1992,males,25–34,Non-Hodgkin lymphoma,90
1992,males,35–44,Hodgkin lymphoma,31
1992,males,35–44,Non-Hodgkin lymphoma,137
1992,males,45–54,Hodgkin lymphoma,19
1992,males,45–54,Non-Hodgkin lymphoma,208
1992,males,55–64,Hodgkin lymphoma,15
1992,males,55–64,Non-Hodgkin lymphoma,262
1992,males,5–14,Hodgkin lymphoma,13
1992,males,5–14,Non-Hodgkin lymphoma,24
1992,males,65–74,Hodgkin lymphoma,22
1992,males,65–74,Non-Hodgkin lymphoma,368
1992,males,75–84,Hodgkin lymphoma,13
1992,males,75–84,Non-Hodgkin lymphoma,259
1992,males,85+,Hodgkin lymphoma,1
1992,males,85+,Non-Hodgkin lymphoma,56
1993,females,15–24,Hodgkin lymphoma,34
1993,females,15–24,Non-Hodgkin lymphoma,16
1993,females,25–34,Hodgkin lymphoma,37
1993,females,25–34,Non-Hodgkin lymphoma,38
1993,females,35–44,Hodgkin lymphoma,14
1993,females,35–44,Non-Hodgkin lymphoma,81
1993,females,45–54,Hodgkin lymphoma,11
1993,females,45–54,Non-Hodgkin lymphoma,144
1993,females,55–64,Hodgkin lymphoma,11
1993,females,55–64,Non-Hodgkin lymphoma,198
1993,females,5–14,Hodgkin lymphoma,11
1993,females,5–14,Non-Hodgkin lymphoma,11
1993,females,65–74,Hodgkin lymphoma,22
1993,females,65–74,Non-Hodgkin lymphoma,301
1993,females,75–84,Hodgkin lymphoma,14
1993,females,75–84,Non-Hodgkin lymphoma,280
1993,females,85+,Hodgkin lymphoma,3
1993,females,85+,Non-Hodgkin lymphoma,80
1993,males,15–24,Hodgkin lymphoma,35
1993,males,15–24,Non-Hodgkin lymphoma,29
1993,males,25–34,Hodgkin lymphoma,47
1993,males,25–34,Non-Hodgkin lymphoma,83
1993,males,35–44,Hodgkin lymphoma,27
