subtype,sex,duration,year,prev_mid,prev_p025,prev_p975,pct_change
dlbcl,males,40,2045,21815.972048452124,19213.422699380713,25068.456053503724,79.1
dlbcl,persons,40,2021,22265.224670569085,19660.34634833172,25203.277844334658,0
dlbcl,persons,40,2030,29556.49597421797,27494.15306689081,31954.03668252047,32.7
dlbcl,persons,40,2040,37306.63282514223,34908.968867431446,39942.179540978206,67.6
dlbcl,persons,40,2045,40504.73027987083,36658.968597524145,44685.84326375996,81.9
follicular,females,40,2021,9303.644403383692,8330.400109280305,10605.645159621286,0
follicular,females,40,2030,12694.898283449766,11830.177232035707,13800.949647665575,36.5
follicular,females,40,2040,16546.28805661614,15306.998221957945,17806.37486528216,77.8
follicular,females,40,2045,18020.966070195907,16181.259795606042,19849.887229407996,93.7
follicular,males,40,2021,11242.881287622527,9964.545984762204,12829.024116016064,0
follicular,males,40,2030,15186.554346531837,14052.272046322872,16605.69773494321,35.1
follicular,males,40,2040,19218.190162205057,17726.729695266404,21094.383613352216,70.9
follicular,males,40,2045,20698.80755553441,18370.148651962914,23566.655139834962,84.1
follicular,persons,40,2021,20578.756992438895,18964.15847355871,22591.776773856724,0
follicular,persons,40,2030,27926.42843650201,26422.82053706309,29655.39719352211,35.7
follicular,persons,40,2040,35773.77662158938,33667.46907142664,37927.3447414957,73.8
follicular,persons,40,2045,38713.08898581036,35572.45225192861,41867.62257262984,88.1
hodgkin,females,40,2021,6201.716981372676,5416.874119651577,6969.617342609663,0
hodgkin,females,40,2030,8136.907150063967,7436.167028924293,8777.031255263244,31.2
hodgkin,females,40,2040,10460.408467609624,9732.314749630546,11167.295594549609,68.7
hodgkin,females,40,2045,11607.647324408475,10568.918977337762,12550.040334546276,87.2
hodgkin,males,40,2021,7300.904176842885,6266.511349365783,8297.452116322174,0
hodgkin,males,40,2030,9414.292201979042,8588.936271616036,10171.342189559173,28.9
hodgkin,males,40,2040,12344.610183565299,11476.60718928862,13225.783007856211,69.1
hodgkin,males,40,2045,13852.815804325546,12648.544060671642,15135.553711829469,89.7
hodgkin,persons,40,2021,13500.924299135648,12131.759466191412,14789.348561672083,0
hodgkin,persons,40,2030,17537.240691458603,16461.575160648947,18569.254091493713,29.9
hodgkin,persons,40,2040,22803.475914625884,21664.74507758882,23928.583419769595,68.9
hodgkin,persons,40,2045,25444.161895140656,23912.795383982273,27075.984634253706,88.5
mantle_cell,females,40,2021,698.8564092956689,548.3576695012778,996.5260925826858,0
mantle_cell,females,40,2030,1115.3473246921185,897.311337528631,1391.099474983704,59.6
mantle_cell,females,40,2040,1801.952357288965,1276.908712940464,2485.6546220278237,157.8
mantle_cell,females,40,2045,2186.8213335329488,1378.2285643266546,3309.162119415927,212.9
mantle_cell,males,40,2021,1518.7319663477458,1358.158478849939,1902.7520770199812,0
mantle_cell,males,40,2030,2504.2864243843214,2200.000567048984,2846.2039775440294,64.9
mantle_cell,males,40,2040,4065.235918671355,3210.330683052287,5047.294309214556,167.7
mantle_cell,males,40,2045,4771.59629944522,3493.381431810152,6260.574858550983,214.2
mantle_cell,persons,40,2021,2251.5745817277266,1962.1294400734168,2701.9769567403564,0
mantle_cell,persons,40,2030,3630.179882338756,3242.5441378018086,4046.737279836316,61.2
mantle_cell,persons,40,2040,5915.282534340461,4819.796944186677,7038.5062368344825,162.7
mantle_cell,persons,40,2045,7018.0053980085895,5350.900650812567,8868.70900829521,211.7
nhl,females,40,2021,30149.90156775373,27619.74427864135,33737.58856009198,0
nhl,females,40,2030,42916.271797568785,40803.402006192235,45634.375476426096,42.3
nhl,females,40,2040,59685.06565980759,56664.58381580851,62796.60552927484,98
nhl,females,40,2045,67837.53181835948,63159.54016827967,73250.67321632887,125
nhl,males,40,2021,35485.300817073665,32753.778747633616,38962.80486344758,0
nhl,males,40,2030,50468.516252921414,48263.38623327112,53176.857672859274,42.2
