effect,value,rr,rr_p025,rr_p975,subtype,sex,tier
cohort,1902,0.7076164793766788,0.6700124411708849,0.7474851231556251,nhl,females,agg
cohort,1903,0.7148043265099222,0.6785243697072155,0.7535667089543304,nhl,females,agg
cohort,1904,0.7223921767286582,0.6871340969754866,0.7596630090555815,nhl,females,agg
cohort,1905,0.7298850333167938,0.6958530783931131,0.7654633353880356,nhl,females,agg
cohort,1906,0.7373942436780614,0.7046907039775948,0.7719045587804629,nhl,females,agg
cohort,1907,0.745090264929477,0.7136456798137347,0.7784209951211777,nhl,females,agg
cohort,1908,0.7527915462567374,0.7227144528470522,0.785013556768142,nhl,females,agg
cohort,1909,0.7607838183135753,0.731355916504456,0.7914624394515588,nhl,females,agg
cohort,1910,0.7687738403099236,0.7404746343385247,0.7979592410786648,nhl,females,agg
cohort,1910.5,0.7727124301478653,0.7451066740386907,0.8012264921063722,nhl,females,agg
cohort,1911,0.7765047499175552,0.7498843345573344,0.8045099920899069,nhl,females,agg
cohort,1911.5,0.7806181391567444,0.7544798820091722,0.8078259987705795,nhl,females,agg
cohort,1912,0.7847026399510011,0.7591035944896027,0.8113561449490115,nhl,females,agg
cohort,1912.5,0.7887402600996232,0.7637556446279683,0.8146775712261325,nhl,females,agg
cohort,1913,0.7928078070560726,0.7684277906003067,0.8177789996080754,nhl,females,agg
cohort,1913.5,0.7968820924815758,0.7727034325300481,0.8211313100004355,nhl,females,agg
cohort,1914,0.8010483903529105,0.7772052766387613,0.8247736252608163,nhl,females,agg
cohort,1914.5,0.8050448819750944,0.7820062550316417,0.8281843273138757,nhl,females,agg
cohort,1915,0.8092438096629555,0.7864958728583893,0.8316161822900537,nhl,females,agg
cohort,1915.5,0.8135033315433371,0.7914177863300481,0.8354365579702225,nhl,females,agg
cohort,1916,0.8175703208798093,0.7959072889685168,0.8395335453345418,nhl,females,agg
cohort,1916.5,0.8216671114080585,0.8006100715731111,0.8432085066589589,nhl,females,agg
cohort,1917,0.8258919159217586,0.8050976283039761,0.8469198837865923,nhl,females,agg
cohort,1917.5,0.8303334869403565,0.8098232888651238,0.8504521750401112,nhl,females,agg
cohort,1918,0.834692883232558,0.814337384446442,0.8544102547016008,nhl,females,agg
cohort,1918.5,0.8389926009725239,0.8190539883506095,0.8582728367052612,nhl,females,agg
cohort,1919,0.843192975777187,0.8242237053038324,0.8621710234809395,nhl,females,agg
cohort,1919.5,0.8475489705603433,0.8288451806381862,0.8660076964528813,nhl,females,agg
cohort,1920,0.8519403536109982,0.833750859692183,0.8702335835374636,nhl,females,agg
cohort,1920.5,0.8562226205145405,0.8382200855579065,0.8746750793077964,nhl,females,agg
cohort,1921,0.8605005549029897,0.8430883178255009,0.87915613897885,nhl,females,agg
cohort,1921.5,0.8649387185026083,0.8476645986027198,0.8836390872997868,nhl,females,agg
cohort,1922,0.8691662886812082,0.8520112464093134,0.8881581981463175,nhl,females,agg
cohort,1922.5,0.8736859884139481,0.8563952150847488,0.8930333010053361,nhl,females,agg
cohort,1923,0.8781705763815183,0.8606160449869454,0.8975776119337863,nhl,females,agg
cohort,1923.5,0.8826361735956842,0.8650360763756969,0.9021146675895579,nhl,females,agg
cohort,1924,0.8869287185265637,0.8696194267096677,0.907226786605052,nhl,females,agg
cohort,1924.5,0.8913312036499843,0.8742214103727021,0.9116918834514887,nhl,females,agg
cohort,1925,0.8956193111476092,0.8783882381176978,0.9163781238314501,nhl,females,agg
cohort,1925.5,0.9000276427420607,0.8822414756646227,0.920407839744393,nhl,females,agg
cohort,1926,0.9042895125345508,0.8866751574052406,0.925270288180853,nhl,females,agg
cohort,1926.5,0.9086650366513666,0.891142260139876,0.9294011945736007,nhl,females,agg
cohort,1927,0.91299605495144,0.8956317688221452,0.9338235138252856,nhl,females,agg
cohort,1927.5,0.917324663462304,0.8999427855231534,0.9379733629623503,nhl,females,agg
cohort,1928,0.9214962634629664,0.9038848900854856,0.9423481834141395,nhl,females,agg
cohort,1928.5,0.9257219196571614,0.9081092509868012,0.9465025201372079,nhl,females,agg
cohort,1929,0.9299664538941873,0.9119677213330973,0.9506090686072478,nhl,females,agg
cohort,1929.5,0.9342164121419837,0.9158257887966073,0.9543333130474828,nhl,females,agg
cohort,1930,0.9384155834657162,0.9200961161875372,0.9579882892320465,nhl,females,agg
cohort,1930.5,0.9423524798525458,0.9241030186494538,0.961689944522175,nhl,females,agg
cohort,1931,0.9463084788123831,0.9280879924607944,0.9655239268303927,nhl,females,agg
cohort,1931.5,0.950403135840613,0.9320945939574513,0.9691574862924794,nhl,females,agg
cohort,1932.5,0.9578702084118654,0.9405442519899151,0.9751010140760706,nhl,females,agg
cohort,1933.5,0.9652346899983953,0.9483900357741082,0.9818822376988995,nhl,females,agg
cohort,1934.5,0.9726300899896414,0.9556563291212661,0.989244023278168,nhl,females,agg
cohort,1935.5,0.9795240322854859,0.9622045747885796,0.9961046356631945,nhl,females,agg
cohort,1936.5,0.9868183380196178,0.9688597309389666,1.0040418413393135,nhl,females,agg
cohort,1937.5,0.9937741105236271,0.9748420039095691,1.01164833377645,nhl,females,agg
cohort,1938.5,1.0005773489249679,0.9815060219714121,1.0194239429126302,nhl,females,agg
cohort,1939.5,1.0073994973841351,0.988020591177835,1.0266278093265333,nhl,females,agg
cohort,1940.5,1.0140704122811726,0.9952240177587937,1.0333494809578425,nhl,females,agg
cohort,1941.5,1.0208865579506452,1.0027251346019797,1.038893598330115,nhl,females,agg
cohort,1942.5,1.0276421408485101,1.0106641143258956,1.0444266384741148,nhl,females,agg
cohort,1943.5,1.0343490122420875,1.0193372850005575,1.0497720939620954,nhl,females,agg
cohort,1944.5,1.0406097310234736,1.0274780567090027,1.0543934094348866,nhl,females,agg
cohort,1945.5,1.0466175100323318,1.0352434170840652,1.058789761764135,nhl,females,agg
cohort,1946.5,1.0525627818456424,1.042126238868913,1.063124255021693,nhl,females,agg
cohort,1947.5,1.057860611684581,1.0477807079881756,1.0679333779661264,nhl,females,agg
cohort,1948.5,1.0627305620448704,1.0522580191234279,1.0727305140838583,nhl,females,agg
cohort,1949.5,1.066804789921826,1.0549445557816544,1.07771030760285,nhl,females,agg
cohort,1950.5,1.070031898283586,1.057916527533092,1.0823585940639329,nhl,females,agg
cohort,1951.5,1.072841181830305,1.0594366809614266,1.086328155011993,nhl,females,agg
cohort,1952.5,1.0748253223920425,1.060056009944891,1.0897886671343076,nhl,females,agg
cohort,1953.5,1.0763054818046225,1.0603288475876518,1.092253451364229,nhl,females,agg
cohort,1954.5,1.0772101646875374,1.0597403477770722,1.0943884505362973,nhl,females,agg
cohort,1955.5,1.0775340262940607,1.0591827153753055,1.0958013268005606,nhl,females,agg
cohort,1956.5,1.0771585040760432,1.0575627084657977,1.0965567770935412,nhl,females,agg
cohort,1957.5,1.076831744157201,1.0559159280324872,1.0972155203246419,nhl,females,agg
cohort,1958.5,1.0761091428772742,1.054433922839979,1.0970623872501233,nhl,females,agg
cohort,1959.5,1.0749803507423632,1.05243602805667,1.0975112285017763,nhl,females,agg
cohort,1960.5,1.0734382816633552,1.0499448032796597,1.098133303096095,nhl,females,agg
cohort,1961.5,1.0721269773923807,1.0469663730346717,1.0978830466296865,nhl,females,agg
cohort,1962.5,1.0705335702203875,1.043967515591616,1.0977887065805507,nhl,females,agg
cohort,1963.5,1.0688617741475515,1.04090080166495,1.097706721248829,nhl,females,agg
cohort,1964.5,1.0668888792110969,1.0375533237500385,1.097754453432738,nhl,females,agg
cohort,1965.5,1.0651544983155747,1.0336236534712413,1.0974411341666384,nhl,females,agg
cohort,1966.5,1.0635599965032427,1.0307950741100893,1.098182568975915,nhl,females,agg
cohort,1967.5,1.0616520326623928,1.0271010745563076,1.0983540395362903,nhl,females,agg
cohort,1968.5,1.0599201977369126,1.023701313735235,1.098855712477111,nhl,females,agg
cohort,1969.5,1.058161612552497,1.0201195661340579,1.0993781524199677,nhl,females,agg
