tier,subtype,sex,n_a,n_p,n_c,tot_knots,cases_mape,pe_2021,n_coef,dev_df_full,aic_full
subtype,follicular,females,7,5,6,18,10.096317793559141,-5.4377894524225585,13,1.3627175215747271,1051.3514314103736
subtype,mantle_cell,males,7,5,6,18,11.204975485560501,44.34623936259382,13,0.7682521790807006,710.2900670500137
subtype,mantle_cell,females,7,5,6,18,30.121723842604958,73.50937831499823,13,0.8536458906143376,594.6147525149702
agg,nhl,males,4,6,6,16,1.9144057223103317,3.968685917078589,13,2.6257059858940264,2713.062448091171
agg,nhl,females,4,6,6,16,2.057704127542064,0.8420507854327797,13,1.9523338179713368,2426.202798695616
agg,hodgkin,males,4,6,6,16,4.577505213430451,-0.09045073350894775,13,2.411764224164281,2139.801265177111
agg,hodgkin,females,4,6,6,16,6.857865902497949,-3.684691975151449,13,2.8295759317882365,2189.3187941906012
subtype,dlbcl,males,4,6,6,16,2.640149184126286,4.399889985459276,13,1.940782714005674,1318.893233874885
subtype,dlbcl,females,4,6,6,16,5.0687294883510505,3.6709088486159245,12,1.9618247981381247,1261.696723315609
subtype,follicular,males,4,6,6,16,4.907128991113168,-3.1323684703900665,13,1.4105346425317025,1109.2668416707518
subtype,follicular,females,4,6,6,16,11.286899558367667,-7.59645725372826,13,1.7037391299189009,1105.2328455287534
subtype,mantle_cell,males,4,6,6,16,10.999109999561533,44.155508040898624,12,0.8244338710789936,717.9912082568233
subtype,mantle_cell,females,4,6,6,16,23.35905551836626,64.39216936211764,13,0.8771335190886353,598.3257978139097
agg,nhl,males,5,6,6,17,1.9144057223103317,3.968685917078589,13,2.502358961809004,2679.142016467791
agg,nhl,females,5,6,6,17,2.0618553624902733,0.848889179090426,14,1.1920866208389962,2217.9427328633847
agg,hodgkin,males,5,6,6,17,4.6353051197596775,0.5816410617486591,14,2.017858857761051,2031.4594305584617
agg,hodgkin,females,5,6,6,17,6.704139369675269,-4.422407551237547,13,3.345631208787516,2331.2339953654055
subtype,dlbcl,males,5,6,6,17,2.857239951462153,4.9661477250683435,13,1.940782714005674,1318.893233874885
subtype,dlbcl,females,5,6,6,17,7.246839433050988,8.631789971425228,14,1.1735865487724186,1138.0196685689166
subtype,follicular,males,5,6,6,17,4.515512933054489,-2.8310204254234166,13,1.4105346425317025,1109.2668416707518
subtype,follicular,females,5,6,6,17,11.41610719879841,-7.5552009561271225,13,1.7037391299189009,1105.2328455287534
subtype,mantle_cell,males,5,6,6,17,10.82511241023886,43.789524525585534,13,0.777818222842502,711.801501964379
subtype,mantle_cell,females,5,6,6,17,30.841674191824954,73.71651199858768,13,0.8771335190886353,598.3257978139097
agg,nhl,males,6,6,6,18,1.8781862553303723,4.063295735930804,13,2.502358961809004,2679.142016467791
agg,nhl,females,6,6,6,18,2.0943989253759994,1.2012566527497806,14,1.2142878918886952,2224.025881131
agg,hodgkin,males,6,6,6,18,4.65799174878417,0.6989442463741827,14,2.1192565886773718,2059.242408829533
agg,hodgkin,females,6,6,6,18,7.438243380616968,-1.1051326022655714,14,2.613787372823294,2129.363153102419
subtype,dlbcl,males,6,6,6,18,2.857239951462153,4.9661477250683435,13,1.9387019138256794,1318.5644674464463
subtype,dlbcl,females,6,6,6,18,7.826592870834739,9.694840043555894,14,1.1735865487724186,1138.0196685689166
