sex,age_group,years_since_dx,subtype,annual_rate,source
females,5–14,2,hodgkin,0.0038571428571428606,fallback (non-improving)
females,5–14,3,hodgkin,0.005428571428571432,fallback (non-improving)
females,5–14,4,hodgkin,0.005800000000000005,fallback (non-improving)
females,5–14,5,hodgkin,0.005542857142857146,fallback (non-improving)
females,5–14,1,nhl,-1.0000000000000009e-4,age-specific
females,5–14,2,nhl,-4.0000000000000034e-4,age-specific
females,5–14,3,nhl,-4.0000000000000034e-4,age-specific
females,5–14,4,nhl,-4.0000000000000034e-4,age-specific
females,5–14,5,nhl,0.0027000000000000023,age-specific
females,15–24,1,dlbcl,-8.000000000000007e-4,age-specific
females,15–24,2,dlbcl,0.002299999999999991,age-specific
females,15–24,3,dlbcl,0.002299999999999991,age-specific
females,15–24,4,dlbcl,0.002299999999999991,age-specific
females,15–24,5,dlbcl,0.002299999999999991,age-specific
females,15–24,1,follicular,0.0026857142857142848,fallback (filled cell)
females,15–24,2,follicular,0.0029000000000000024,fallback (filled cell)
females,15–24,3,follicular,0.003585714285714284,fallback (filled cell)
females,15–24,4,follicular,0.005514285714285718,fallback (filled cell)
females,15–24,5,follicular,0.006571428571428574,fallback (filled cell)
females,15–24,1,mantle_cell,0.006100000000000005,fallback (filled cell)
females,15–24,2,mantle_cell,0.006149999999999994,fallback (filled cell)
females,15–24,3,mantle_cell,0.013850000000000006,fallback (filled cell)
females,15–24,4,mantle_cell,0.014699999999999996,fallback (filled cell)
females,15–24,5,mantle_cell,0.012600000000000005,fallback (filled cell)
females,15–24,1,hodgkin,-8.999999999999786e-4,age-specific
females,15–24,2,hodgkin,4.0000000000000034e-4,age-specific
females,15–24,3,hodgkin,-2.0000000000000017e-4,age-specific
females,15–24,4,hodgkin,-1.0000000000000009e-4,age-specific
females,15–24,5,hodgkin,0.0013000000000000012,age-specific
females,15–24,1,nhl,-0.003700000000000003,age-specific
females,15–24,2,nhl,4.0000000000000034e-4,age-specific
females,15–24,3,nhl,-6.000000000000005e-4,age-specific
females,15–24,4,nhl,5.000000000000004e-4,age-specific
females,15–24,5,nhl,5.000000000000004e-4,age-specific
females,25–34,1,dlbcl,0.0032833333333333325,fallback (non-improving)
females,25–34,2,dlbcl,0.004883333333333332,fallback (non-improving)
females,25–34,3,dlbcl,0.0038833333333333324,fallback (non-improving)
