P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier
2042,1022.4734533222618,924.7252035853505,1132.7953325601025,4.345468056807833,3.914550579097681,4.85794387066334,follicular,males,subtype
2043,1020.1289469811204,920.3056315724862,1135.2188551585957,4.275131877468004,3.8399654665138168,4.798792585918579,follicular,males,subtype
2044,1017.488521075291,915.6648761675825,1136.0972229961872,4.201461488157431,3.7618596487239992,4.738030267140837,follicular,males,subtype
2045,1015.1551476023601,909.9678251517618,1138.8459038317533,4.12802655870152,3.683044337876489,4.681942094155505,follicular,males,subtype
2022,635.7765278294562,599.8049208086117,674.7380379666452,3.8045261676869107,3.5832666095684105,4.038443241988811,follicular,females,subtype
2023,649.175597798906,613.3636146590873,688.3279331801823,3.766010826746724,3.551123027763518,3.997493106519311,follicular,females,subtype
2024,660.8283308844846,624.174615210638,701.1249718894403,3.725665423306796,3.505965353019795,3.9539668201581706,follicular,females,subtype
2025,672.325021299653,635.2165357757283,712.6201477871886,3.681828918847221,3.4655516660115597,3.9050779901163444,follicular,females,subtype
2026,683.58227616776,644.0596062449981,724.4899275934102,3.631937104952918,3.4191393049366745,3.8563033882052458,follicular,females,subtype
2027,693.0787461874701,651.9093256324232,735.3038337871805,3.5797974796570404,3.3597661344566956,3.8034307821472977,follicular,females,subtype
2028,701.3785670000445,658.3290434308502,744.7955830325391,3.5252079627436217,3.2998872697600095,3.7519033956061287,follicular,females,subtype
2029,708.2110722470884,661.942236618075,754.2512791833833,3.464887242607413,3.2387175228054277,3.7033971784193804,follicular,females,subtype
2030,713.4232916055482,665.0021185059912,761.8328828350515,3.4063369334888014,3.168312819980878,3.650979801970979,follicular,females,subtype
2031,716.6581457233241,666.2636079905367,767.6174947375616,3.3447472466588426,3.1039599194387546,3.5919595129026773,follicular,females,subtype
2032,719.9972174216443,668.046426915993,773.0397851186896,3.28899213365793,3.0380243914042833,3.5416569882116753,follicular,females,subtype
