tier,n_a,n_p,n_c,tot_knots,n_models,mean_mape,max_mape,mean_abs_pe21,mean_dev_df,mean_aic
subtype,4,5,6,15,6,9.639553598621323,22.997716559117215,21.064098801579398,1.4531332692685983,1018.0298713740539
subtype,5,4,4,13,6,9.704628560508343,21.25697393995598,19.912178455534267,1.4810304977860365,1021.2490036367876
subtype,4,6,6,16,6,9.710178789980993,23.35905551836626,21.2245503268683,1.4530747791270051,1018.5677750767887
subtype,4,7,6,17,6,9.742179134532329,23.041366361549763,21.136484570198384,1.4568327508611827,1019.7042190435949
subtype,7,4,4,15,6,9.758395444978515,21.25697393995598,20.03358873716559,1.1822426672505755,973.5253196238617
subtype,6,4,4,14,6,9.7602404234083,21.25697393995598,20.03313211612734,1.4066074709162653,1009.4958595957048
subtype,5,5,4,14,6,9.79036918219612,21.63754113366482,20.542944441963307,1.4784166472382894,1021.3469473259074
subtype,7,5,4,16,6,9.840797567673516,21.63754113366482,20.663224866580563,1.177734854567484,973.6218269273166
subtype,6,5,4,15,6,9.842640189997516,21.63754113366482,20.662722675323707,1.403519221504367,1009.5918469263923
subtype,5,6,4,15,6,9.86150577960546,21.985262501010883,20.69854153940263,1.4788028824531987,1021.9300629430995
subtype,5,7,4,16,6,9.903996096222953,21.65743243921747,20.612656412888732,1.4827212468785165,1023.0742971196321
subtype,7,6,4,17,6,9.911816586849412,21.985262501010883,20.818641058483966,1.1761943534275265,974.1991523914958
subtype,6,6,4,16,6,9.913668176969443,21.985262501010883,20.818164523919428,1.4033814106147764,1010.1676516359237
subtype,7,7,4,18,6,9.956555328949435,21.65743243921747,20.73253376139708,1.1782286812700564,975.3443818371879
subtype,6,7,4,17,6,9.958407596970883,21.65743243921747,20.732057102469632,1.4068216209186093,1011.3110486557407
subtype,7,4,6,17,6,10.47580658503636,27.09634358810052,22.695667493456874,1.1480837014990175,969.7295587348627
subtype,6,4,6,16,6,10.519570164582234,27.09634358810052,22.81368281877364,1.28829259325596,991.7627860611141
subtype,5,4,6,15,6,10.59017469874691,27.09634358810052,22.95791438806901,1.3178604176492106,996.1801251108716
subtype,7,5,6,18,6,11.00358192127669,30.121723842604958,23.15789960321852,1.1434165913749135,969.8440716337553
subtype,6,5,6,17,6,11.057185082054849,30.121723842604958,23.27546635727253,1.284885232711572,991.9321779071008
subtype,5,5,6,16,6,11.138461383764819,30.121723842604958,23.418967495957084,1.3148324279671202,996.3805845453746
subtype,7,6,6,19,6,11.138685426890191,30.841674191824954,23.320780378786935,1.1415252052257474,970.4037074169612
subtype,7,7,6,20,6,11.144484980689253,30.23322745378379,23.24154568703506,1.143319579833257,971.5421046505072
subtype,6,6,6,18,6,11.202724777710026,30.841674191824954,23.438245000676215,1.2838798504699163,992.4900965980604
subtype,6,7,6,19,6,11.210829505529903,30.23322745378379,23.358848067285997,1.2865381921751922,993.6234524986857
subtype,5,6,6,17,6,11.283747686404977,30.841674191824954,23.581699267036218,1.3139324628599722,996.9233149035992
subtype,5,7,6,18,6,11.285056862447039,30.23322745378379,23.50153190469681,1.3167790458217277,998.0563245594876
subtype,7,4,5,16,6,13.985241263935192,46.627305041421394,26.120175274923145,1.1576300893014193,970.4050644847463
subtype,6,4,5,15,6,13.990792908920458,46.627305041421394,26.127509571851416,1.320507229649142,996.2362950559757
subtype,5,4,5,14,6,14.023048506883834,46.627305041421394,26.19687127715099,1.3611524101683374,1002.4688898529754
subtype,7,5,5,17,6,14.684835006010273,50.80191096039724,26.60480481869929,1.1534085347811929,970.5762072267288
subtype,6,5,5,16,6,14.690401096612057,50.80191096039724,26.61212307271762,1.317163646565671,996.3808165972596
subtype,5,5,5,15,6,14.728829782397646,50.80191096039724,26.679323963374948,1.357990871001864,1002.6017190997385
subtype,7,6,5,18,6,14.840204081720605,51.600315057793885,26.774290875644475,1.1518009958511113,971.1688075409947
subtype,6,6,5,17,6,14.845776691173999,51.600315057793885,26.78159830183366,1.316726031270054,996.99552187312
subtype,7,7,5,19,6,14.84887639558874,50.883832312315114,26.68844753677366,1.1537025915143948,972.3155570642791
subtype,6,7,5,18,6,14.854452367477633,50.883832312315114,26.69576427570203,1.319647611666517,998.1402489653882
subtype,5,6,5,16,6,14.883707881766922,51.600315057793885,26.848163379959097,1.3577850849939284,1003.2107501932188
subtype,5,7,5,17,6,14.884085529740302,50.883832312315114,26.761331449500666,1.3609574124274137,1004.3542156754971
