scenario,year,subtype,sex,duration,prev_mid,prev_p025,prev_p975,prev_mean
conservative,2045,follicular,persons,40,35735.709090479206,33501.078835124354,38299.95924119032,35796.315208201246
conservative,2012,mantle_cell,persons,40,1361.1432868558813,1119.6952555910802,1703.568880252378,1371.71261327706
conservative,2013,mantle_cell,persons,40,1460.3526683905739,1208.0249763383592,1820.2146771326918,1470.4548129871725
conservative,2014,mantle_cell,persons,40,1563.8122019739208,1302.9494612813867,1945.425056249389,1573.8996272485783
conservative,2015,mantle_cell,persons,40,1659.1208839471528,1384.0903799748507,2062.8386704762243,1667.9223291153644
conservative,2016,mantle_cell,persons,40,1743.6211592468078,1458.5574025681553,2155.51554693527,1750.8607641472836
conservative,2017,mantle_cell,persons,40,1871.8195474402232,1580.0932877087632,2299.995924343468,1882.7905171530492
conservative,2018,mantle_cell,persons,40,1957.1686042350261,1664.1192587906276,2393.857805707725,1969.5879837138093
conservative,2019,mantle_cell,persons,40,2069.683319060194,1770.6487180586832,2519.088771279276,2083.2340773548476
conservative,2020,mantle_cell,persons,40,2199.2751315805695,1903.151168436118,2652.6579953901646,2214.135186294847
conservative,2021,mantle_cell,persons,40,2260.417867254724,1958.390932282349,2726.9294345834637,2274.7180525083236
conservative,2022,mantle_cell,persons,40,2357.5414655394125,2059.4299242300676,2812.427453673904,2372.496136641676
conservative,2023,mantle_cell,persons,40,2467.3706620726603,2167.492412321449,2908.437401195291,2485.240672559649
conservative,2024,mantle_cell,persons,40,2592.8755605955794,2290.8944761483635,3038.8138076012733,2608.0512187202744
conservative,2025,mantle_cell,persons,40,2726.567014333654,2418.5100320083307,3173.4410198758696,2739.5951225039466
conservative,2026,mantle_cell,persons,40,2865.4337884335905,2557.065548509391,3299.050310095504,2879.6141854186562
conservative,2027,mantle_cell,persons,40,3012.7348786047014,2697.846026989162,3450.5327801470653,3027.2228663686246
conservative,2028,mantle_cell,persons,40,3165.7533297268183,2840.9141012565096,3623.8588534285636,3182.365759850396
conservative,2029,mantle_cell,persons,40,3332.1086472209236,2987.734704935037,3756.7475448858445,3342.8159873752584
