year,prev_mid,prev_p025,prev_p975,prev_mean,duration,subtype,sex
2028,504.0615971210266,445.89469275075174,572.5931973057224,505.053457122309,2,mantle_cell,males
2029,525.186147060053,461.6033685601722,600.8739252302173,526.5041368985633,2,mantle_cell,males
2030,545.6564287012262,475.25241084349625,630.301774668488,546.7031213905219,2,mantle_cell,males
2031,564.2520737537897,487.2010300753431,656.4492754933046,565.0141997094055,2,mantle_cell,males
2032,580.0142348890818,497.62995963730214,681.3070585300401,580.4971571905113,2,mantle_cell,males
2033,592.9659890115734,503.35259131959,701.9778826221878,593.0279183204111,2,mantle_cell,males
2034,604.0396779770205,509.1314577826158,718.8197670946089,604.5579273414459,2,mantle_cell,males
2035,614.2735151705558,512.9949162554191,737.0229824555428,615.5366784015526,2,mantle_cell,males
2036,625.1416164416456,517.9774294466398,756.829422547921,626.70042341445,2,mantle_cell,males
2037,636.236338980606,523.0988855838012,777.2199544414359,638.0622345144817,2,mantle_cell,males
2038,646.9660512381099,526.9466948302592,798.6245523163287,648.7944849798404,2,mantle_cell,males
2039,655.8624778948324,530.1634303286488,816.7808822975443,658.5817178633802,2,mantle_cell,males
2040,663.7218210663075,531.8556074689209,833.7341788777768,667.1693427851894,2,mantle_cell,males
2041,670.7277624072465,532.1922971617014,849.3693992572595,674.3645444526805,2,mantle_cell,males
2042,675.5742075734465,531.0761616045907,864.7985179429321,679.9615999758586,2,mantle_cell,males
2043,678.1825188434891,527.7005119110125,877.0593789063194,684.0009704827336,2,mantle_cell,males
2044,680.91722517213,523.3108761326489,890.1350748892517,687.009360510544,2,mantle_cell,males
2045,683.0660966951073,520.7166802297073,906.9231469432032,689.1960500895157,2,mantle_cell,males
2012,386.39003090120735,379.4021163611349,392.1575462925443,386.2331184529246,3,mantle_cell,males
2013,400.32857015838465,392.77907410958943,407.1899086007365,400.2087959982254,3,mantle_cell,males
2014,421.7025698583976,413.3202448944125,429.64590948800213,421.7291165043566,3,mantle_cell,males
2015,437.8150596444943,428.8001935480782,446.0545069687988,437.8904071160283,3,mantle_cell,males
2016,449.39928134492044,440.25045096861487,457.6454335328385,449.5176696588525,3,mantle_cell,males
2017,499.4472733226381,492.07550562705046,506.7421284567911,499.5601285161676,3,mantle_cell,males
2018,523.0119092009504,514.2618926125333,531.6546195033178,522.9533221116677,3,mantle_cell,males
2019,571.7194060852804,563.4653012294857,579.4230455821591,571.5401921277116,3,mantle_cell,males
2020,588.9092610478431,579.6762301188704,597.6956664272673,588.7964812356252,3,mantle_cell,males
2021,573.9011803866513,563.5565972955103,583.2342855792159,573.6806035814105,3,mantle_cell,males
2022,559.2844097766998,537.9676792701696,583.4963719796795,559.5095654666395,3,mantle_cell,males
2023,551.3647962020327,512.7130907425093,596.7214065413791,552.3848468099657,3,mantle_cell,males
2024,594.4845342292911,540.0156102729995,660.2056545235146,596.191162844567,3,mantle_cell,males
2025,622.1578134371359,563.7693192738323,691.9634608190619,624.018682082253,3,mantle_cell,males
2026,652.0848713444775,586.837002226546,727.4061009588827,653.4287312715949,3,mantle_cell,males
2027,683.1052947879348,611.6272303367758,765.7662312236355,684.6510943807334,3,mantle_cell,males
2028,715.5009535267488,635.9616772775614,809.427782030523,717.2324082348905,3,mantle_cell,males
2029,747.8794168979634,659.6960859268332,853.735612621225,749.9700161139122,3,mantle_cell,males
2030,779.6774200097684,683.680580602418,895.1186136645724,781.7920445173316,3,mantle_cell,males
2031,809.869884244258,702.5810284817185,937.7026287709367,811.5314817265446,3,mantle_cell,males
2032,835.6786887144498,719.053293879624,972.4110923130701,837.8761129443172,3,mantle_cell,males
2033,857.6275911880698,731.83461777532,1006.9657861581541,860.4003534658074,3,mantle_cell,males
2034,875.2012360746801,740.5859631275446,1035.6260990768096,877.875620899184,3,mantle_cell,males
2035,890.6215496385823,747.9970327144889,1067.1766700418445,894.0998560664311,3,mantle_cell,males
2036,905.2476694120949,755.1079291305477,1096.9731684575747,910.1825593771886,3,mantle_cell,males
2037,920.0662786609787,761.7993342490358,1123.9711319725673,925.996245997288,3,mantle_cell,males
2038,935.6375662692508,764.6589436294975,1150.9019384285923,941.4212335669623,3,mantle_cell,males
